equipment_type,area,dept,equip_num,acct_code,grouping1,maintenance_operation1,frequency1,grouping2,maintenance_operation2,frequency2,grouping3,maintenance_operation3,frequency3,grouping4,maintenance_operation4,frequency4,grouping5,maintenance_operation5,frequency5,grouping6,maintenance_operation6,frequency6
P - Pump H20/Grease/Slurry,Quarry,Mechanical,P-021,70113,1,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Quarry,Mechanical,P-133 ,70113,1,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Quarry,Mechanical,P-150,70113,1,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Quarry,Mechanical,P-165 ,70113,1,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Quarry,Mechanical,P-20 ,70113,1,Monthly Inspection,1M,,,,,,,,,,,,,,,
BP - Breaker Plate,Crushing,Mechanical,BP-1,70114,2,Monthly Inspection,1M,2,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Crushing,Mechanical,C-1,70114,2,Monthly Inspection,1M,2,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Crushing,Mechanical,C-2,70114,2,Monthly Inspection,1M,2,Monthly Lubrication,1M,,,,,,,,,,,,
IC - Crusher,Crushing,Mechanical,IC-1,70114,2,Monthly Inspection,1M,2,Monthly Lubrication,1M,,,,,,,,,,,,
SP - Sump Pump,Crushing,Mechanical,SP-1 ,70114,2,Monthly Inspection,1M,2,Monthly Lubrication,1M,,,,,,,,,,,,
BL - Building,Raw Material,Mechanical,BL-300,70115,3,Monthly Inspection,1M,,,,,,,,,,,,,,,
C - Conveyor,Raw Material,Mechanical,C-3,70115,3,Monthly Inspection,1M,3,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Raw Material,Mechanical,C-300,70115,3,Monthly Inspection,1M,3,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Raw Material,Mechanical,C-301,70115,3,Monthly Inspection,1M,3,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Raw Material,Mechanical,C-302,70115,3,Monthly Inspection,1M,3,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Raw Material,Mechanical,C-4,70115,3,Monthly Inspection,1M,3,Monthly Lubrication,1M,,,,,,,,,,,,
CF - Conveyor Feeder,Raw Material,Mechanical,CF-2,70115,3,Monthly Inspection,1M,3,Monthly Lubrication,1M,,,,,,,,,,,,
CF - Conveyor Feeder,Raw Material,Mechanical,CF-3,70115,3,Monthly Inspection,1M,3,Monthly Lubrication,1M,,,,,,,,,,,,
FG - Flop/Flow Gate,Raw Material,Mechanical,FG-003,70115,3,Monthly Inspection,1M,3,Monthly Lubrication,1M,,,,,,,,,,,,
MA - Magnet,Raw Material,Mechanical,MA-1,70115,3,Monthly Inspection,1M,,,,,,,,,,,,,,,
FN - Fan,Raw Material,Mechanical,F-305,70115,4,Monthly Inspection,1M,4,Monthly Lubrication,1M,,,,,,,,,,,,
RH - Reclaim Hopper,Raw Material,Mechanical,RH-300,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
RH - Reclaim Hopper,Raw Material,Mechanical,RH-301,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
RH - Reclaim Hopper,Raw Material,Mechanical,RH-302,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
RS - Rail Car Shaker,Raw Material,Mechanical,RCS-1,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
ST - Spray/Structural Tower,Raw Material,Mechanical,ST-1,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
TC - Tripper Conveyor,Raw Material,Mechanical,TC-301,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
TC - Tripper Conveyor,Raw Material,Mechanical,TC-301A,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
WF - Weigh Feeder,Raw Material,Mechanical,WF-300A,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
WF - Weigh Feeder,Raw Material,Mechanical,WF-301A,70115,5,Monthly Inspection,1M,5,Monthly Lubrication,1M,,,,,,,,,,,,
